# bad | good

ກະຈາຍ | ກະຈ່າຍ
ກະຕືລືລົ້ນ | ກະຕືຮືລົ້ນ
ກຳນົດ | ກຳໜົດ
ກີບ | ກິບ
ກົມກຽວ | ກົມກ່ຽວ
ກຣີກ | ກລີກ
ກົດໝາຍ | ກົດຫມາຍ
ກິຕິຄຸນ | ກິດຕິຄຸນ
ຂັດແຍ້ງ | ຂັດແຍ່ງ
ຂຶ້ນ | ຂື້ນ
ຂົ່ມເຫັງ | ຂົ່ມເຫງ
ຄຣິສຕະການ | ຄຣິດຕະການ, ຄລິດຕະການ
ຄຣິສຕະຈັກ | ຄຣິດຕະຈັກ, ຄລິດຕະຈັກ
ຄຣິສຕະພານິດ | ຄຣິດຕະພານິດ, ຄລິດຕະພານິດ
ຄຣິສຕະສາສະໜາ | ຄຣິດຕະສາສະໜາ, ຄລິດຕະສາສະໜາ
ຄຣິສຕຽນ | ຄຣິດສະຕຽນ, ຄຣິດຕຽນ, ຄລິດຕຽນ
ຄຣິສ | ຄຮິດ, ຄຮິສ
ຄົ້ນຄວ້າ | ຄົ້ນຄວ່າ
ຄຳທຳນວາຍ | ຄຳທຳນາຍ
ຄ່ອງແຄ້ວ | ຄ່ອງແຄ່ວ
ງົມງວາຍ | ງົມງາຍ
ຈັດຕຽມ | ຈັດກຽມ
ຈົງຮັກພັກດີ | ຈົ່ງຮັກພັກດີ
ຈົງໃຈ | ຈົ່ງໃຈ
ຈິດໃຈ | ຈິຕໃຈ
ຊີວະປະຫວັດ | ຊີວະປະວັດ
ຊີວິດ | ຊີວິຕ
ຊາບຊຶ້ງ | ຊາບເຊິ່ງ
ຊຳລະ | ຊຳຮະ
ສະມາຊິກ | ຊະມາຊິດ
ສະຖານະການ | ສະຖານນະການ
ສະໜິດ | ສະນິດ
ສະຫຼົດ | ສະລົດ
ສະຫງ່າຣາສີ | ສະຫງ່າລາສີ
ສະຫຼາດ | ສະຫລາດ
ສະໜັບສະໜູນ | ສະໜັບສະໜຸນ
ສະຕະວັດ | ສັດຕະວັດ
ສະຫຼຸບ | ສະລຸບ
ສະແດງ | ແສດງ, ສແດງ
ສອດຄ່ອງ | ສອດຄ້ອງ
ສັນຍະລັກ | ສັນຍາລັກ
ສັນຕິສຸກ | ສັນຕະສຸກ
ສາສະໜາ | ສາດສະໜາ, ສາສະນາ, ສາສນາ
ສຳລັບ | ສຳຫຼັບ
ສັນຍາ | ສິນຍາ
ສິລະປະ | ສິນລະປະ
ສິ້ນເຊີງ | ສິ້ນເຊິງ
ສິ້ນເປືອງ | ສິ້ນເປື່ອງ
ສິນລະທຳ | ສີນລະທຳ
ສຶກສາ | ສືກສາ
ສຸດຈະຣິດ | ສຸຈະຣິດ, ສຸຈະລິດ
ສຸດຊຶ້ງ | ສຸດເຊິ້ງ
ສູນເສຍ | ສູນເສີຍ
ສູ້ຮົບ | ສູ້ລົບ
ສົ່ງເສີມ | ສົງເສີມ
ສົມຣົດ | ສົມລົດ
ສາດສະດາຈານ | ສາດສະໜາຈານ, ສາສະດາຈານ
ສາສະໜາຈານ | ສາດສະໜາຈານ, ສາສະດາຈານ
ສາສະໜາສາດ | ສາດສະໜາສາດ
ສັນຕິຣາດ | ສັນຕິລາດ
ສັດຊື່ | ສັຕຊື່
ຢຳເກງ | ຍຳເກງ
ຢຶດຖື | ຍຶດຖື
ຢຶດໝັ້ນ | ຍຶດໝັ້ນ
ຢຽບຢ້ຳ | ຢຽບຢ່ຳ
ຍຸຕິ | ຍຸດຕິ, ຢຸຕິ
ຍຸຕິທຳ | ຍຸດຕິທຳ
ຍຸດທະສາດ | ຍຸທະສາດ
ດ່າງພອຍ | ດ່າງພ້ອຍ
ຕະຫຼອດ | ຕະລອດ
ຕົ້ນຕໍ | ຕົ້ນຕໍ່
ຕາເວັນ | ຕະເວັນ
ຖວາຍ | ຖະຫວາຍ
ເຖິງ | ຖຶງ, ຖືງ
ທ່າມກາງ | ຖ້າມກາງ
ທົ່ວ | ທັ່ວ
ທໍ້ຖອຍ | ທ້ອຖ້ອຍ
ທຳມະຊາດ | ທຳມະຊາຕ
ທຳມະບັນຍັດ | ທຳມະບັນຍັຕ
ນະຣົກ | ນະລົກ, ນາຣົກ, ນາລົກ
ນັກຮົບ | ນັກລົບ
ນິກາຍ | ນີກາຍ
ນັກປະຕິຮູບ | ນັກປະຕິລູບ
ບັນພະບຸລຸດ | ບັນພະບູລຸດ
ບັນເທີງ | ບັນເທິງ
ບາບ | ບາປ
ບຳເໜັດ | ບຳເນັດ
ບິດບັງ | ປິດບັງ
ບິດເບືອນ | ບິດເບື່ອນ
ບຸກເບີກ | ບຸກເບິກ
ບົກຜ່ອງ | ບົກຜ່ອງ
ບໍຣິບູນ | ບໍລິບູນ
ບໍຣິສຸດ | ບໍລິສຸດ
ປັດຈຸບັນ | ປະຈູບັນ
ປະຊາຊົນ | ປະຊະຊົນ, ປະຊາຊັນ
ປະຊຸມ | ປະຊູມ
ປາຖະໜາ | ປະຖະໜາ, ປາດຖະໜາ
ປະຢັດ | ປະຫຍັດ
ປະໂຣຫິດ | ປະໂລຫິດ, ປຸໂຣຫິຕ, ປຸໂລຫິດ
