% Lao word list with break points
% !! = armageddon (7500)
% ! = nuclear (5000)
% ~ = emergency (1000)
% ~~ = discouraged (100)
% ~~~ = neutral (0)
% ~~~~ = encouraged (-200)
% ~~~~~ = excellent (-400)
% ~~~~~~ = superb (-1000)
% ~S~ = \hspace{0.4em plus 0.2em minus 0.1em}\allowbreak

ກກ| ກກ %
ກຣີກ| ກຣີກ %
ກວດ| ກວດ %
ກວດເບິ່ງ| ກວດ~~~ເບິ່ງ %
ກວນ| ກວນ %
ກວມ| ກວມ %
ກວາດ| ກວາດ %
ກວຽນ| ກວຽນ %
ກວ່າ| ກວ່າ %
ກວ້າງ| ກວ້າງ %
ກວ້າງຂວາງ| ກວ້າງ~~~ຂວາງ %
ກອກເທດ| ກອກເທດ % Olive tree (alternative spelling)
ກອງ| ກອງ %
ກອງທັບ| ກອງ~~ທັບ %
ກອງພົນ| ກອງ~~ພົນ %
ກອດ| ກອດ %
ກອບ| ກອບ %
ກອບກູ້| ກອບ~~ກູ້ %
ກອບໂກຍ| ກອບ!ໂກຍ %
ກະກຽມ| ກະກຽມ %
ກະຈັດກະຈາຍ| ກະຈັດ~~~~ກະຈາຍ %
ກະຈາຍ| ກະຈາຍ %
ກະຈົກ| ກະຈົກ %
ກະຈ່າງ| ກະຈ່າງ %
ກະຈ່າງແຈ້ງ| ກະຈ່າງ~~~ແຈ້ງ %
ກະຊວງ| ກະຊວງ %
ກະຊິບ| ກະຊິບ %
ກະດູກ| ກະດູກ %
ກະດ້າງ| ກະດ້າງ %
ກະດ້າງກະເດືອງ| ກະດ້າງ~~ກະເດືອງ %
ກະຕັນຍູ| ກະຕັນຍູ %
ກະຕືລືລົ້ນ| ກະຕືລືລົ້ນ %
ກະຕຸ້ນ| ກະຕຸ້ນ %
ກະຕູບ| ກະຕູບ %
ກະຕ່າ| ກະຕ່າ %
ກະຕ່າຍ| ກະຕ່າຍ %
ກະຕ່າຍຕື່ນຕູມ| ກະຕ່າຍ~~ຕື່ນ~~ຕູມ %
ກະທັດຮັດ| ກະທັດ~ຮັດ %
ກະທັນຫັນ| ກະທັນຫັນ %
ກະທັ້ງ| ກະທັ້ງ %
ກະທຳ| ກະທຳ %
ກະທິ| ກະທິ %
ກະທົບ| ກະທົບ %
ກະທ້ອມ| ກະທ້ອມ %
ກະບວນ| ກະບວນ %
ກະບອກ| ກະບອກ %
ກະບອງ| ກະບອງ %
ກະບົດ| ກະບົດ %
ກະປະມານ| ກະ~ປະມານ %
ກະພື| ກະພື %
ກະລຸນາ| ກະລຸນາ %
ກະວີ| ກະວີ %
ກະວົນກະວາຍ| ກະວົນ~~ກະວາຍ %
ກະສອບ| ກະສອບ %
ກະສັດ| ກະສັດ %
