GC01_alt_th.typ	18.2	no repair the English source decides on its own
GC04_alt_th.typ	67.3	no repair the English source decides on its own
GC07_alt_th.typ	121.3	the first 121.4 becomes 121.3
GC08_alt_th.typ	150.4	the paragraph between 150.3 and 150.5, printed as 150.3, becomes 150.4
GC08_alt_th.typ	159.3	the first 160.1 becomes 159.3
GC11_alt_th.typ	201.2	the paragraph between 201.1 and 201.3, printed as 201.1, becomes 201.2
GC12_alt_th.typ	217.3	the paragraph between 217.2 and 218.1, printed as 217.1, becomes 217.3
GC12_alt_th.typ	221.3	the paragraph between 221.2 and 221.4, printed as 221.2, becomes 221.3
GC14_alt_th.typ	249.4	the paragraph between 249.3 and 250.1, printed as 249.1, becomes 249.4
GC15_alt_th.typ	265.2	the first 266.1 becomes 265.2
GC23_alt_th.typ	410.3	no repair the English source decides on its own
GC23_alt_th.typ	415.2	no repair the English source decides on its own
GC24_alt_th.typ	424.3	the paragraph between 424.2 and 424.4, printed as 424.2, becomes 424.3
GC27_alt_th.typ	464.1	the paragraph between 463.3 and 464.2, printed as 463.3, becomes 464.1
GC29_alt_th.typ	492.2	the paragraph between 492.1 and 493.1, printed as 492.1, becomes 492.2
GC34_alt_th.typ	562.1	no repair the English source decides on its own
GC35_alt_th.typ	567.2	no repair the English source decides on its own
GC35_alt_th.typ	570.2	the second 570.1 becomes 570.2
GC35_alt_th.typ	575.1	no repair the English source decides on its own
GC35_alt_th.typ	581.2	no repair the English source decides on its own
GC38_alt_th.typ	609.1	no repair the English source decides on its own

numbers considered: 21; repaired: 12; left alone: 9
changes written
