# entry	joined	sites	hits elsewhere	first page	confidence
คริสต-จักร	คริสตจักร	28	581	p45	confirmed elsewhere in the book
พันธ-สัญญา	พันธสัญญา	9	84	p19	confirmed elsewhere in the book
จิต-วิญญาณ	จิตวิญญาณ	7	223	p44	confirmed elsewhere in the book
ประวัติ-ศาสตร์	ประวัติศาสตร์	7	62	p259	confirmed elsewhere in the book
พระคริสต-ธรรมคัมภี	พระคริสตธรรมคัมภี	6	25	p229	confirmed elsewhere in the book
โปรเตส-แตนต์	โปรเตสแตนต์	5	131	p86	confirmed elsewhere in the book
พระสันตะ-ปาปา	พระสันตะปาปา	4	222	p126	confirmed elsewhere in the book
ฤทธา-นุภาพ	ฤทธานุภาพ	4	62	p293	confirmed elsewhere in the book
อุดม-การณ์ของ	อุดมการณ์ของ	4	38	p151	confirmed elsewhere in the book
มนุษย-ชาติ	มนุษยชาติ	4	27	p312	confirmed elsewhere in the book
พระมหา-กษัตริย์	พระมหากษัตริย์	4	21	p80	confirmed elsewhere in the book
คริส-เตียน	คริสเตียน	3	236	p284	confirmed elsewhere in the book
คำพยา-กรณ์	คำพยากรณ์	3	180	p316	confirmed elsewhere in the book
จักร-พรรดิ	จักรพรรดิ	3	132	p144	confirmed elsewhere in the book
ีย-กร	ียกร	3	86	p131	confirmed elsewhere in the book
อุดม-การณ์	อุดมการณ์	3	52	p132	confirmed elsewhere in the book
วามกระตือ-รือร้น	วามกระตือรือร้น	3	36	p176	confirmed elsewhere in the book
เปลี่ยน-แปลง	เปลี่ยนแปลง	2	93	p216	confirmed elsewhere in the book
อัคร-ทูต	อัครทูต	2	83	p587	confirmed elsewhere in the book
ประสบ-การณ์	ประสบการณ์	2	58	p159	confirmed elsewhere in the book
จิต-สำนึก	จิตสำนึก	2	57	p268	confirmed elsewhere in the book
ะเทศสหรัฐ-อเมริกา	ะเทศสหรัฐอเมริกา	2	33	p547	confirmed elsewhere in the book
ศาสน-ศาสตร์	ศาสนศาสตร์	2	30	p352	confirmed elsewhere in the book
ปฐม-กาล	ปฐมกาล	2	29	p486	confirmed elsewhere in the book
กฎ-ระเบียบ	กฎระเบียบ	2	22	p252	confirmed elsewhere in the book
อัคร-สาวก	อัครสาวก	2	22	p256	confirmed elsewhere in the book
ประนี-ประนอม	ประนีประนอม	2	21	p207	confirmed elsewhere in the book
บัพ-ติศมา	บัพติศมา	2	19	p354	confirmed elsewhere in the book
คุณ-ลักษณะ	คุณลักษณะ	2	14	p216	confirmed elsewhere in the book
เมืองคอน-สแตนซ์	เมืองคอนสแตนซ์	2	7	p100	confirmed elsewhere in the book
นอีแวน-เจลิคัล	นอีแวนเจลิคัล	2	5	p189	confirmed elsewhere in the book
เมืองไอน์-ซีเดน	เมืองไอน์ซีเดน	2	4	p167	confirmed elsewhere in the book
อาชญา-กรรม	อาชญากรรม	2	0	p113	the word occurs once in the book, so a reader supplied the boundary
ทูต-สวรรค์	ทูตสวรรค์	1	278	p416	confirmed elsewhere in the book
่า-เป	่าเป	1	262	p41	confirmed elsewhere in the book
ธรรม-บัญญัติ	ธรรมบัญญัติ	1	213	p627	confirmed elsewhere in the book
พระ-วิญญาณ	พระวิญญาณ	1	179	p275	confirmed elsewhere in the book
าน-การ	านการ	1	142	p208	confirmed elsewhere in the book
อาณา-จักร	อาณาจักร	1	128	p61	confirmed elsewhere in the book
ร์-แล	ร์แล	1	128	p230	confirmed elsewhere in the book
สนับ-สนุน	สนับสนุน	1	127	p540	confirmed elsewhere in the book
กฎ-หมาย	กฎหมาย	1	123	p189	confirmed elsewhere in the book
ซื่อ-สัตย์	ซื่อสัตย์	1	117	p300	confirmed elsewhere in the book
ดา-เนียล	ดาเนียล	1	97	p350	confirmed elsewhere in the book
ความ-หมาย	ความหมาย	1	85	p155	confirmed elsewhere in the book
นั้น-ไม่	นั้นไม่	1	78	p159	confirmed elsewhere in the book
เรียก-ร้อง	เรียกร้อง	1	77	p88	confirmed elsewhere in the book
อุป-นิสัย	อุปนิสัย	1	75	p307	confirmed elsewhere in the book
ประ-ณาม	ประณาม	1	75	p323	confirmed elsewhere in the book
แตก-ต่าง	แตกต่าง	1	69	p285	confirmed elsewhere in the book
ศีล-ธรรม	ศีลธรรม	1	68	p281	confirmed elsewhere in the book
บาท-หลวง	บาทหลวง	1	66	p211	confirmed elsewhere in the book
กระ-ตุ้น	กระตุ้น	1	63	p183	confirmed elsewhere in the book
ฤทธานุ-ภาพ	ฤทธานุภาพ	1	62	p224	confirmed elsewhere in the book
เครื่อง-หมาย	เครื่องหมาย	1	60	p603	confirmed elsewhere in the book
อง-แค	องแค	1	53	p128	confirmed elsewhere in the book
ตัดสิน-ใจ	ตัดสินใจ	1	49	p173	confirmed elsewhere in the book
เห็น-แก่	เห็นแก่	1	43	p47	confirmed elsewhere in the book
โปรด-ปร	โปรดปร	1	42	p302	confirmed elsewhere in the book
คำ-ตอบ	คำตอบ	1	39	p156	confirmed elsewhere in the book
เคร่ง-ครัด	เคร่งครัด	1	38	p118	confirmed elsewhere in the book
ประ-เพณี	ประเพณี	1	36	p278	confirmed elsewhere in the book
ศาสน-ศา	ศาสนศา	1	34	p225	confirmed elsewhere in the book
อภิ-สุทธิสถาน	อภิสุทธิสถาน	1	34	p410	confirmed elsewhere in the book
สิ้นพระ-ชนม์	สิ้นพระชนม์	1	33	p208	confirmed elsewhere in the book
พระเมษ-โปดก	พระเมษโปดก	1	33	p411	confirmed elsewhere in the book
จงรัก-ภักดี	จงรักภักดี	1	32	p58	confirmed elsewhere in the book
มหา-วิทยาลัย	มหาวิทยาลัย	1	32	p133	confirmed elsewhere in the book
ธรร-มาสน์	ธรรมาสน์	1	32	p198	confirmed elsewhere in the book
นา-การ	นาการ	1	30	p183	confirmed elsewhere in the book
ืองวิตเทน-เบิร์ก	ืองวิตเทนเบิร์ก	1	27	p145	confirmed elsewhere in the book
อิเล็ก-เตอร์	อิเล็กเตอร์	1	26	p161	confirmed elsewhere in the book
ราช-อาณาจักร	ราชอาณาจักร	1	26	p333	confirmed elsewhere in the book
