# Thai Glossary — shared by every Thai project (PP, SC, SJ, MB, PK, ...)

<!-- Being built. A row enters this file only after the translator adjudicates it, chunk by chunk, from mining runs over th/MB and th/PP, whose published chapters (MB, PP 1–20) are the strong precedent; SC chapters supply the questions. Conventions follow lo/GC/04_assets/translation_profile/GC-glossary.txt: a row is silent until its Notes cell carries [CHECK] (enforce: report English present, Thai absent) or [FLAG] (report every occurrence); a bare Notes cell is reference only; '/' in the Thai cell means any listed option satisfies a [CHECK]. A Notes cell carries at most 15 words of prose, refs excluded, on one line. A Notes cell may name wordings that stand when found and are never proposed. -->

## 1. Theological and historical terms

| English | Thai | Notes |
|---|---|---|
| revelation | การเปิดเผย / พระคัมภีร์ | [CHECK] Natural meaning: พระคัมภีร์ for the written word, otherwise การเปิดเผย; a recast raises a question. SC 9.1 |
| mystery (God's deep truth) | ความล้ำลึก | [CHECK] Divine truth beyond human grasp; anchored by THSV, 1 โครินธ์ 2:10. SC 26.4, SC 105.3 |
| mystery (deliberate hiding) | ความลึกลับ | [CHECK] Satan's concealment and "mystery of iniquity"; never ความล้ำลึก here. PP 41.2 |
| mysterious (storytelling) | (free choice) | Ordinary strange happenings; never marked. PP 291.3, PP 470.3 |
| perplexity (confusion) | ความสับสน | [CHECK] Where "confusion" reads true in the English sentence. PP 193.1, SC 108.2 |
| perplexity (troubles) | ความยุ่งยาก / ข้อยุ่งยากใจ | [CHECK] Where "troubles" reads true; both true means free choice. SC 71.2, SC 105.1 |
| psalmist | ผู้ประพันธ์สดุดี / ผู้ประพันธ์พระธรรมสดุดี / ผู้ประพันธ์เพลงสดุดี / ดาวิด | [CHECK] Default ผู้ประพันธ์สดุดี as PP; ดาวิด only where the psalm's title names him; พระธรรมสดุดี as the book stands. PP 33.2, SC 9.1, SC 37.4 |
| temptation | การทดลอง / ถูกทดลอง | [CHECK] Enticement to sin; the Bible's word. ถูกทดลอง is the verb. มัทธิว 6:13, MB 116.2 |
| trial (God testing) | การทดสอบ / ทดสอบ / ถูกทดสอบ / ลองใจ / การทดลองใจ | [CHECK] God proving faith or character; THSV writes ทดลอง here too, ambiguous but not wrong. ปฐมกาล 22:1, PP 48.4 |
| trials (everyday hardships) | ความทุกข์ยากลำบาก / ความยากลำบาก / ความทุกข์ยาก / ความทุกข์ | [CHECK] Hardship words; prefer them over การทดลอง, which reads as temptation. MB 10.2, PP 129.2, SC 9.3 |
| tempt (Satan lures) | ล่อลวง / ทดลอง / หลอกล่อ / ชักนำ | [CHECK] Satan as agent: ล่อลวง where luring is the point, ทดลอง where testing is. ยากอบ 1:14, PP 54.3 |
| tempter, the | ผู้ทดลอง / มารผู้ทดลอง / ซาตาน | The name may replace the title. มัทธิว 4:3, PP 54.2 |
| test (proof, criterion) | พิสูจน์ / บทพิสูจน์ / เกณฑ์วัด | A standard something is measured by, not God's testing. MB 145.1, PP 707.2 |
| chastening | การตีสอน | Trials sent as discipline; the Bible's word. ฮีบรู 12:10, MB 11.3 |
| tempt God, provoke | ลองดี | Israel provoking God; TNCV's word at Massah. PP 298.3 |
| doubt | ความสงสัย / สงสัย | Noun and verb. SC 47.1, PP 54.3 |
| finite mind | สมองอันจำกัด | SC 105.3, PP 114.2 |
| inspiration | การดลใจจากพระเจ้า / ทรงดลใจ | Noun and verb. PP 117.2, PP 708.6 |
| skeptic | นักสงสัย / ความสงสัย | The person, then the attitude. PP 114.1 |
| infidel | ผู้ที่ไม่เชื่อในพระเจ้า | Family head; wording may flex. PP 113.1, PP 123.4 |
| evidence | หลักฐาน | SC 64.2, PP 38.2 |
| majesty | ความน่าเกรงขาม / ความยิ่งใหญ่ | Context chooses. SC 73.1, PP 95.3 |
| Almighty, the | องค์ผู้ทรงมหิทธิฤทธิ์ | PP 116.1 |
| Infinite One, the | องค์ผู้สูงสุด | PP 116.1 |
| testimony | หลักฐาน / คำยืนยัน | No fixed form; settled at each site. SC 89.3, PP 77.1 |
| Sermon on the Mount | คำเทศนาบนภูเขา | MB's title and SJ agree. MB vii.1, SJ 60.2 |
| great white throne | พระที่นั่งใหญ่สีขาว | MB 90.2 |
| resurrection | การฟื้นจากความตาย | The doctrine; royal ฟื้นพระชนม์ / คืนพระชนม์ for Christ's own rising. PP 478.4, MB 129.2 |
| assurance (felt certainty) | ความมั่นใจ | SC 53.2, PP 466.3 |
| assurance (pledge given) | พระสัญญา / การรับรอง | SC 93.3, PP 449.1 |
| benediction | คำอวยพร / พระพร | Spoken blessing, then the blessing itself. PP 471.1, MB 1.1 |
| redeemed, the | ผู้ที่ได้รับการไถ่ / ผู้ที่พระองค์ทรงไถ่ | Provisional; the translator is unsure it holds — revisit when issues appear. SC 88.3 |
| divine (adjective) | ของพระเจ้า / จากพระเจ้า / โดยพระเจ้า | The preposition follows the sentence: of, by, or from God as the text requires |
| divinity (of Christ) | ความเป็นพระเจ้า | SC 118.1 |
| divine test | การทดสอบจากพระเจ้า | Composed per the divine row and the trial row. SC 118.1 |
| Man of Sorrows (Isaiah 53:3) | ผู้รับความเจ็บปวด | [CHECK] The title's half of the verse. SC 13.1, PP 762.2 |
| acquainted with grief (Isaiah 53:3) | คุ้นเคยกับความทุกข์ยาก | The verse's second half. PP 762.2 |
| incarnation (of Christ) | การบังเกิดเป็นมนุษย์ของพระคริสต์ / ทรงบังเกิดเป็นมนุษย์ | [CHECK] Noun and verb shapes. SC 106.2, SC 14.3 |
| regeneration, new birth, born again | การบังเกิดใหม่ / บังเกิดใหม่ / เกิดใหม่ | [CHECK] Default การบังเกิดใหม่, the noun; บังเกิดใหม่ the verb; a possessor such as ของผู้เชื่อ may follow. SC 106.2, MB 141.3, SC 18.2 |
| reverence | ความเคารพยำเกรง / ความยำเกรง | Awe-respect before God; in a doublet ความเชื่อศรัทธา may cover it. SC 109.3 |
| Creator | พระผู้สร้าง | SC 9.1 |
| transgression, transgress (of God's law) | การล่วงละเมิด / ละเมิด / ฝ่าฝืน / ทำบาป | [CHECK] Crossing God's law; ฝ่าฝืน a specific command; ทำบาป where sin is meant; quotations follow their version. PP 42.4, MB 104.3, PP 49.1, PP 723.2 |
| transgressor | ผู้ล่วงละเมิด / ผู้ละเมิด / คนบาป | [CHECK] Before the law ผู้ล่วงละเมิด or ผู้ละเมิด; คนบาป where God pleads with the sinner. PP 349.2, MB 79.1, MB 105.2 |
| God's law, law of God | พระบัญญัติของพระเจ้า / ธรรมบัญญัติของพระเจ้า | [CHECK] Primary, then secondary. MB 18.1, MB 49.2 |
| law of love | พระบัญญัติแห่งความรัก / กฎแห่งความรัก | [CHECK] Both stand. PP 34.3, MB 97.3 |
| curse, verb and noun | สาปแช่ง / คำสาปแช่ง / การสาปแช่ง | [CHECK] The verb, then the two nouns. MB 17.3, MB 1.1, PP 78.2 |
| character (of God, of Christ) | พระลักษณะ / พระลักษณะนิสัย / พระอุปนิสัย | [CHECK] In this order of preference. MB 49.2, MB 77.1, MB 54.1 |
| goodness (of God) | พระคุณความดี / ความดีของพระเจ้า | [CHECK] MB 26.3, PP 74.1 |
| glory (of God) | พระสิริ / พระเกียรติสิริ | [CHECK] The Bible versions' words: พระสิริ in TH1971 and THSV, พระเกียรติสิริ in TNCV. MB 26.2, MB 43.1 |
| the enemy of good | ศัตรูแห่งความดี | Follows SC 10.3; PP and MB have no site for the phrase |
| ruin and degradation; degradation | ความตกต่ำ / ความเสื่อมทราม / ความเสื่อมเสีย / ความเสื่อมโทรม | [CHECK] Pair ความหายนะ or ความพินาศ with ความตกต่ำ or ความเสื่อมทราม; เสื่อมเสีย means disgrace. SC 14.3, MB 69.2 |
| only begotten Son | พระบุตรองค์เดียว | [CHECK] PP 63.3 |
| disciple | สาวก | [CHECK] PP 77.1 |
| gospel | ข่าวประเสริฐ / ข่าวดี | [CHECK] Default ข่าวประเสริฐ. PP 117.3, MB 108.3 |
| took man's nature | รับสภาพมนุษย์ / รับสภาพธรรมชาติของมนุษย์ / รับสภาพของมนุษย์ | [CHECK] PP 69.3, PP 64.3, MB 104.3 |
| hypocrisy | หน้าซื่อใจคด / หน้าไหว้หลังหลอก | [CHECK] PP majority first. PP 475.3, PP 523.1 |
| unbelief | ขาดความเชื่อ / ไม่เชื่อ / การไม่เชื่อ / ไม่มีความเชื่อ | [CHECK] PP's order of use; ไม่เชื่อ covers the shorter forms. PP 292.2, PP 72.4, PP 95.2, PP 298.3 |
